iter	Passed	Remaining
163	494	2518
164	497	2516
165	500	2516
166	504	2514
167	507	2512
168	510	2511
169	514	2510
170	517	2509
171	520	2507
172	524	2505
173	527	2504
174	531	2503
175	534	2502
176	537	2499
177	540	2496
178	544	2495
179	547	2494
180	550	2492
181	554	2490
182	560	2502
183	563	2499
184	566	2496
185	570	2495
186	573	2494
187	576	2489
188	578	2484
189	581	2478
190	583	2471
191	585	2464
192	588	2460
193	590	2453
194	593	2448
195	595	2442
196	597	2436
197	600	2430
198	602	2425
199	604	2419
200	607	2414
201	609	2408
202	611	2402
203	614	2396
204	616	2391
205	619	2386
206	621	2380
207	623	2374
208	625	2368
209	628	2363
210	631	2359
211	634	2357
212	637	2355
213	640	2353
214	643	2350
215	647	2350
216	650	2348
217	653	2345
218	657	2343
219	660	2341
220	663	2339
221	666	2336
222	669	2333
223	672	2331
224	679	2341
225	682	2338
226	686	2336
227	689	2333
228	692	2331
229	695	2328
230	698	2325
231	701	2323
232	704	2320
233	708	2319
234	711	2317
235	714	2314
236	717	2311
237	721	2308
238	724	2305
239	726	2300
240	729	2295
241	731	2291
242	734	2287
243	736	2282
244	739	2277
245	741	2272
246	743	2267
247	746	2262
248	748	2258
249	751	2253
250	753	2248
251	755	2243
252	758	2238
253	760	2234
254	762	2228
255	764	2223
256	767	2217
257	769	2212
258	771	2207
259	773	2202
260	775	2196
261	777	2191
262	780	2185
263	782	2181
264	785	2177
265	787	2172
266	789	2168
267	792	2164
268	794	2159
269	796	2154
270	799	2150
271	801	2145
272	803	2140
273	805	2135
274	808	2130
275	810	2125
276	813	2123
277	816	2121
278	820	2119
279	823	2116
280	826	2114
281	830	2113
282	833	2110
283	836	2108
284	839	2106
285	842	2103
286	845	2101
287	848	2098
288	851	2095
289	855	2093
290	858	2092
291	861	2089
292	864	2086
293	867	2084
294	871	2081
295	874	2080
296	878	2078
297	881	2076
298	884	2073
299	887	2071
300	891	2070
301	894	2066
302	896	2062
303	899	2058
304	901	2054
305	904	2051
306	906	2047
307	909	2042
308	911	2039
309	914	2035
310	917	2031
311	919	2028
312	921	2023
313	924	2018
314	926	2014
315	928	2010
316	930	2005
317	933	2001
318	935	1997
319	938	1994
320	940	1988
321	942	1984
322	944	1980
323	947	1976
324	949	1972
325	952	1968
326	954	1963
327	956	1959
328	958	1955
329	960	1951
330	963	1947
331	965	1942
332	968	1938
333	970	1934
334	973	1932
335	977	1930
336	981	1930
337	984	1928
338	987	1926
339	990	1923
340	994	1921
341	997	1919
342	1000	1916
343	1003	1914
344	1007	1912
345	1010	1909
346	1013	1907
347	1020	1912
348	1023	1909
349	1026	1906
350	1029	1904
351	1033	1901
352	1036	1899
353	1039	1896
354	1042	1894
355	1045	1891
356	1048	1889
357	1051	1886
358	1055	1883
359	1058	1881
360	1061	1879
361	1065	1877
362	1068	1874
363	1071	1871
364	1073	1867
365	1076	1864
366	1078	1860
367	1081	1856
368	1083	1853
369	1086	1850
370	1088	1845
371	1091	1841
372	1093	1837
373	1095	1833
374	1097	1829
375	1100	1825
376	1102	1821
377	1104	1817
378	1106	1812
379	1107	1807
380	1109	1802
381	1111	1797
382	1113	1793
383	1115	1790
384	1118	1786
385	1120	1782
386	1122	1778
387	1125	1774
388	1127	1771
389	1130	1768
390	1132	1763
391	1133	1758
392	1136	1755
393	1138	1751
394	1141	1748
395	1143	1744
396	1146	1741
397	1149	1739
398	1152	1736
399	1156	1734
400	1159	1731
401	1162	1729
402	1165	1726
403	1168	1723
404	1171	1721
405	1174	1718
406	1178	1716
407	1181	1714
408	1184	1711
409	1187	1709
410	1190	1706
411	1193	1703
412	1196	1701
413	1199	1698
414	1203	1695
415	1206	1693
416	1209	1691
417	1213	1688
418	1216	1686
419	1219	1683
420	1222	1681
421	1225	1678
422	1228	1675
423	1231	1672
424	1234	1669
425	1236	1666
426	1239	1662
427	1241	1659
428	1244	1656
429	1246	1652
430	1249	1649
431	1251	1645
432	1254	1642
433	1256	1639
434	1259	1636
435	1261	1632
436	1264	1628
437	1266	1625
438	1268	1621
439	1271	1617
440	1273	1614
441	1275	1610
442	1277	1606
443	1280	1602
444	1282	1599
445	1284	1595
446	1286	1591
447	1288	1588
448	1291	1584
449	1293	1581
450	1296	1577
451	1298	1574
452	1301	1571
453	1303	1567
454	1305	1563
455	1307	1559
456	1309	1555
457	1311	1552
458	1314	1548
459	1316	1545
460	1319	1542
461	1321	1538
462	1323	1535
463	1326	1532
464	1329	1529
465	1331	1526
466	1335	1523
467	1339	1522
468	1342	1519
469	1345	1516
470	1347	1513
471	1350	1510
472	1353	1507
473	1355	1504
474	1358	1501
475	1360	1498
476	1363	1495
477	1366	1491
478	1368	1488
479	1371	1485
480	1374	1482
481	1376	1479
482	1379	1476
483	1381	1472
484	1383	1469
485	1386	1465
486	1388	1462
487	1390	1459
488	1392	1455
489	1395	1452
490	1397	1448
491	1400	1445
492	1402	1442
493	1405	1439
494	1407	1436
495	1410	1433
496	1412	1429
497	1415	1426
498	1417	1423
499	1419	1419
500	1422	1416
501	1424	1413
502	1427	1410
503	1428	1406
504	1430	1402
505	1433	1399
506	1436	1397
507	1440	1394
508	1443	1392
509	1446	1389
510	1449	1387
511	1452	1384
512	1455	1382
513	1459	1379
514	1462	1377
515	1465	1374
516	1468	1372
517	1471	1369
518	1475	1367
519	1478	1364
520	1481	1362
521	1485	1359
522	1488	1357
523	1491	1354
524	1494	1352
525	1497	1349
526	1501	1347
527	1504	1344
528	1507	1342
529	1511	1339
530	1514	1337
531	1517	1334
532	1519	1331
533	1522	1328
534	1524	1325
535	1527	1322
536	1529	1318
537	1532	1315
538	1535	1312
539	1537	1309
540	1540	1306
541	1542	1303
542	1544	1300
543	1547	1296
544	1549	1293
545	1551	1290
546	1554	1287
547	1556	1284
548	1559	1280
549	1561	1277
550	1563	1274
551	1566	1271
552	1568	1267
553	1571	1264
554	1572	1261
555	1575	1258
556	1577	1254
557	1579	1251
558	1582	1248
559	1584	1245
560	1586	1241
561	1588	1238
562	1591	1235
563	1593	1231
564	1595	1228
565	1598	1225
566	1600	1222
567	1602	1219
568	1606	1216
569	1609	1214
570	1612	1211
571	1615	1209
572	1619	1206
573	1622	1204
574	1626	1201
575	1629	1199
576	1636	1199
577	1639	1197
578	1642	1194
579	1646	1191
580	1649	1189
581	1652	1187
582	1655	1184
583	1659	1181
584	1662	1179
585	1665	1176
586	1668	1174
587	1672	1171
588	1675	1169
589	1678	1166
590	1682	1164
591	1685	1161
592	1688	1158
593	1691	1156
594	1694	1153
595	1697	1150
596	1699	1147
597	1702	1144
598	1705	1141
599	1707	1138
600	1710	1135
601	1713	1132
602	1715	1129
603	1718	1126
604	1721	1123
605	1723	1120
606	1725	1117
607	1728	1114
608	1730	1111
609	1732	1107
610	1735	1104
611	1737	1101
612	1740	1098
613	1742	1095
614	1744	1092
615	1746	1089
616	1748	1085
617	1751	1082
618	1753	1079
619	1756	1076
620	1758	1073
621	1760	1070
622	1762	1066
623	1765	1063
624	1768	1060
625	1770	1057
626	1772	1054
627	1774	1051
628	1776	1048
629	1778	1044
630	1781	1041
631	1785	1039
632	1788	1036
633	1791	1034
634	1794	1031
635	1798	1029
636	1801	1026
637	1804	1024
638	1807	1021
639	1811	1019
640	1814	1016
641	1818	1013
642	1821	1011
643	1824	1008
644	1827	1005
645	1831	1003
646	1834	1000
647	1837	998
648	1840	995
649	1844	992
650	1847	990
651	1850	987
652	1853	985
653	1857	982
654	1860	979
655	1862	976
656	1864	973
657	1867	970
658	1870	967
659	1872	964
660	1874	961
661	1877	958
662	1879	955
663	1882	952
664	1885	949
665	1887	946
666	1889	943
667	1892	940
668	1894	937
669	1896	934
670	1898	930
671	1900	927
672	1902	924
673	1904	921
674	1906	918
675	1909	915
676	1911	911
677	1913	908
678	1915	905
679	1918	902
680	1919	899
681	1922	896
682	1924	893
683	1926	890
684	1928	886
685	1931	883
686	1933	880
687	1935	877
688	1938	875
689	1941	872
690	1945	869
691	1948	867
692	1951	864
693	1954	861
694	1957	859
695	1960	856
696	1964	853
697	1970	852
698	1974	850
699	1977	847
700	1980	844
701	1984	842
702	1987	839
703	1990	837
704	1994	834
705	1997	831
706	2000	829
707	2004	826
708	2007	824
709	2011	821
710	2015	819
711	2018	816
712	2021	813
713	2024	811
714	2028	808
715	2031	805
716	2034	803
717	2037	800
718	2040	797
719	2042	794
720	2044	791
721	2047	788
722	2050	785
723	2052	782
724	2054	779
725	2057	776
726	2059	773
727	2061	770
728	2063	767
729	2066	764
730	2068	761
731	2071	758
732	2073	755
733	2076	752
734	2078	749
735	2081	746
736	2083	743
737	2085	740
738	2088	737
739	2091	734
740	2093	731
741	2095	728
742	2097	725
743	2099	722
744	2102	719
745	2104	716
746	2107	713
747	2109	710
748	2112	707
749	2115	705
750	2119	702
751	2122	699
752	2125	697
753	2128	694
754	2132	691
755	2135	689
756	2138	686
757	2142	684
758	2145	681
759	2149	678
760	2152	675
761	2155	673
762	2158	670
763	2162	667
764	2165	665
765	2168	662
766	2171	659
767	2174	657
768	2181	655
769	2184	652
770	2188	649
771	2191	647
772	2194	644
773	2197	641
774	2200	638
775	2203	636
776	2206	633
777	2208	630
778	2211	627
779	2213	624
780	2216	621
781	2218	618
782	2221	615
783	2223	612
784	2226	609
785	2228	606
786	2231	603
787	2233	600
788	2235	597
789	2237	594
790	2240	591
791	2242	588
792	2244	585
793	2246	582
794	2248	579
795	2251	576
796	2253	573
797	2255	571
798	2258	568
799	2260	565
800	2263	562
801	2266	559
802	2268	556
803	2270	553
804	2272	550
805	2275	547
806	2277	544
807	2280	541
808	2282	538
809	2285	536
810	2288	533
811	2292	530
812	2295	527
813	2298	525
814	2301	522
815	2304	519
816	2308	517
817	2311	514
818	2314	511
819	2317	508
820	2320	506
821	2324	503
822	2327	500
823	2330	497
824	2333	495
825	2336	492
826	2340	489
827	2343	486
828	2346	484
829	2349	481
830	2353	478
831	2356	475
832	2359	473
833	2362	470
834	2366	467
835	2368	464
836	2370	461
837	2372	458
838	2375	455
839	2377	452
840	2380	449
841	2382	447
842	2385	444
843	2388	441
844	2390	438
845	2393	435
846	2395	432
847	2398	429
848	2400	426
849	2402	424
850	2405	421
851	2407	418
852	2409	415
853	2411	412
854	2413	409
855	2415	406
856	2417	403
857	2420	400
858	2422	397
859	2424	394
860	2426	391
861	2428	388
862	2430	385
863	2433	383
864	2436	380
865	2438	377
866	2440	374
867	2443	371
868	2445	368
869	2447	365
870	2449	362
871	2452	359
872	2454	357
873	2456	354
874	2459	351
875	2462	348
876	2465	345
877	2469	343
878	2472	340
879	2476	337
880	2479	334
881	2482	332
882	2485	329
883	2488	326
884	2495	324
885	2498	321
886	2501	318
887	2505	315
888	2508	313
889	2511	310
890	2514	307
891	2517	304
892	2521	302
893	2524	299
894	2527	296
895	2530	293
896	2534	291
897	2537	288
898	2540	285
899	2543	282
900	2546	279
901	2549	277
902	2552	274
903	2555	271
904	2557	268
905	2560	265
906	2562	262
907	2565	259
908	2567	257
909	2570	254
910	2573	251
911	2575	248
912	2578	245
913	2580	242
914	2582	239
915	2585	237
916	2587	234
917	2589	231
918	2591	228
919	2594	225
920	2598	222
921	2601	220
922	2603	217
923	2606	214
924	2608	211
925	2611	208
926	2613	205
927	2615	202
928	2618	200
929	2621	197
930	2623	194
931	2626	191
932	2628	188
933	2631	185
934	2632	183
935	2635	180
936	2637	177
937	2639	174
938	2642	171
939	2644	168
940	2647	165
941	2649	163
942	2651	160
943	2653	157
944	2656	154
945	2658	151
946	2660	148
947	2663	146
948	2667	143
949	2670	140
950	2673	137
951	2676	134
952	2684	132
953	2687	129
954	2690	126
955	2693	123
956	2697	121
957	2700	118
958	2703	115
959	2706	112
960	2710	109
961	2713	107
962	2716	104
963	2719	101
964	2723	98
965	2726	95
966	2730	93
967	2733	90
968	2736	87
969	2739	84
970	2742	81
971	2745	79
972	2747	76
973	2750	73
974	2752	70
975	2755	67
976	2757	64
977	2760	62
978	2762	59
979	2765	56
980	2767	53
981	2770	50
982	2772	47
983	2774	45
984	2776	42
985	2779	39
986	2781	36
987	2784	33
988	2786	30
989	2788	28
990	2790	25
991	2793	22
992	2795	19
993	2798	16
994	2799	14
995	2802	11
996	2804	8
997	2806	5
998	2808	2
999	2811	0
