iter	RMSE
259	11714548.52
260	11709515.99
261	11693987.01
262	11686283.44
263	11679860.09
264	11667027.96
265	11663405.25
266	11648676.12
267	11628797.13
268	11622216.4
269	11605482.23
270	11596563.8
271	11593425.41
272	11585042.46
273	11574576.71
274	11558502.5
275	11553084.19
276	11549755.87
277	11528093.91
278	11520622.53
279	11515841.17
280	11510238.88
281	11490246.77
282	11485258.04
283	11480464.4
284	11461599.7
285	11455082.01
286	11447186.47
287	11442585.83
288	11438218.39
289	11426505.54
290	11419268.33
291	11415066.37
292	11412100.07
293	11405307.75
294	11402437.74
295	11389334.46
296	11370789.55
297	11365917.18
298	11347348.62
299	11342575.43
300	11328842.22
301	11318054.52
302	11315121.13
303	11311214.3
304	11306695.19
305	11290834.12
306	11284563.76
307	11281586.61
308	11267201.13
309	11263776.26
310	11246369.9
311	11244825.52
312	11236074.8
313	11229390.87
314	11215481.14
315	11209313.23
316	11207817.01
317	11193169.16
318	11190258.06
319	11178602.33
320	11162051.33
321	11155959.3
322	11139769.09
323	11121146.41
324	11113873.1
325	11100400.01
326	11096884.7
327	11094542.66
328	11085360.43
329	11069860.9
330	11065906.78
331	11062019.29
332	11043891.79
333	11039139.47
334	11020857.54
335	11010751.01
336	11003474.6
337	10999871.61
338	10989606.66
339	10988348
340	10985796.33
341	10966572.57
342	10950211.88
343	10933506.87
344	10921900.55
345	10917936.07
346	10900244.12
347	10897788.35
348	10895122.91
349	10892773.03
350	10879675
351	10872252.35
352	10855153.67
353	10844837.16
354	10839140.88
355	10836142.72
356	10835046.69
357	10818257.31
358	10804092.22
359	10788465.67
360	10787409.2
361	10781317.62
362	10765220.4
363	10763463.67
364	10747724.36
365	10746694.14
366	10744222.4
367	10725387.51
368	10712912.27
369	10695883.68
370	10690660.08
371	10689659.43
372	10684381.33
373	10671121.86
374	10661353.03
375	10660120.44
376	10646771.86
377	10632065.49
378	10628530.11
379	10627497.57
380	10612394.29
381	10606043.67
382	10603007.16
383	10597020.74
384	10595466.04
385	10594075.37
386	10587966.84
387	10587011.26
388	10572595.89
389	10552133.88
390	10542221.02
391	10527640.18
392	10512127.89
393	10506996.01
394	10495332.15
395	10491425.48
396	10490531.24
397	10488348.19
398	10483834.18
399	10470654.18
400	10465240.16
401	10455520.14
402	10439994.95
403	10439105.82
404	10436270.42
405	10421399.64
406	10410829.26
407	10397649.87
408	10381754.39
409	10380893.2
410	10367737.51
411	10365844.77
412	10363812.74
413	10362972.74
414	10349462.97
415	10346714.46
416	10344927.59
417	10343097.46
418	10331818.79
419	10331023.42
420	10326647.21
421	10310544.65
422	10308562.12
423	10301862.22
424	10284707.96
425	10278836.56
426	10265846.83
427	10264837.52
428	10253370.33
429	10245358.77
430	10242778.91
431	10241899.84
432	10227499.04
433	10212805.42
434	10207813.98
435	10186387.56
436	10185423.73
437	10180233.35
438	10167875.32
439	10166669.15
440	10148016.17
441	10146831.45
442	10142936.03
443	10142054.1
444	10123817.14
445	10109474.47
446	10108739.19
447	10098319.98
448	10088033.7
449	10086373.55
450	10085012.79
451	10081256.11
452	10070784.29
453	10054455.33
454	10040886.12
455	10028027.55
456	10018444.65
457	10016707.84
458	10015788.91
459	10005916.79
460	9998852.472
461	9998166.243
462	9986272.731
463	9975376.933
464	9974476.258
465	9960033.818
466	9957124.165
467	9947686.637
468	9934336.454
469	9933069.784
470	9918786.461
471	9918135.616
472	9917190.07
473	9906600.912
474	9905515.504
475	9904665.014
476	9893738.89
477	9880925.413
478	9877148.278
479	9866338.488
480	9850598.122
481	9845941.721
482	9833136.102
483	9821316.875
484	9817675.791
485	9816600.282
486	9807043.293
487	9804751.542
488	9804287.112
489	9796227.358
490	9789984.076
491	9789325.074
492	9775673.458
493	9775248.539
494	9766670.526
495	9760183.473
496	9749787.827
497	9747524.14
498	9736822.069
499	9727842.149
500	9718634.617
501	9705417.061
502	9700331.965
503	9683350.72
504	9671873.365
505	9667463.293
506	9655338.833
507	9648489.291
508	9639291.887
509	9637645.981
510	9636786.862
511	9628310.438
512	9626076.817
513	9617149.528
514	9614174.729
515	9605889.559
516	9601385.117
517	9597841.516
518	9585834.317
519	9580246.276
520	9564924.216
521	9564311.18
522	9553803.552
523	9548960.733
524	9546619.641
525	9538622.787
526	9528818.385
527	9521534.851
528	9513957.197
529	9506644.059
530	9506260.163
531	9501520.405
532	9494045.568
533	9492059.564
534	9482478.421
535	9476524.368
536	9476195.873
537	9465481.932
538	9457597.96
539	9453840.238
540	9445722.285
541	9442269.329
542	9437318.144
543	9428134.466
544	9420435.462
545	9417687.627
546	9405033.456
547	9396207.487
548	9385853.903
549	9384523.484
550	9377273.122
551	9371097.344
552	9360513.453
553	9355481.251
554	9352699.579
555	9345062.317
556	9338060.42
557	9320004.473
558	9303069.607
559	9293129.934
560	9288003.044
561	9280797.113
562	9275311.492
563	9263271.684
564	9261638.489
565	9255693.798
566	9251360.629
567	9250581.759
568	9240005.242
569	9232616.993
570	9232267.632
571	9222208.913
572	9215105.182
573	9214683.425
574	9202128.82
575	9197581.619
576	9190508.613
577	9180022.916
578	9170310.453
579	9165093.673
580	9157774.17
581	9154097.895
582	9152788.545
583	9148955.791
584	9143241.212
585	9136657.003
586	9128819.894
587	9121947.643
588	9113124.778
589	9112606.621
590	9103730.508
591	9097678.192
592	9090934.918
593	9085701.508
594	9082947.774
595	9080415.538
596	9072104.264
597	9064622.305
598	9064238.117
599	9049630.548
600	9039540.077
601	9028470.151
602	9020370.215
603	9013217.974
604	9003725.027
605	8997235.997
606	8988649.627
607	8988263.89
608	8982622.992
609	8974014.511
610	8966141.084
611	8963866.165
612	8957764.283
613	8950486.605
614	8946053.848
615	8941198.512
616	8928313.86
617	8923193.808
618	8915688.732
619	8911577.628
620	8906596.8
621	8906462.563
622	8898335.815
623	8894751.461
624	8879858.957
625	8875253.356
626	8869070.882
627	8864109.14
628	8862924.907
629	8862089.337
630	8855575.508
631	8852777.769
632	8842972.149
633	8837088.39
634	8830529.867
635	8822909.837
636	8813052.526
637	8806137.506
638	8801739.83
639	8796957.961
640	8792926.038
641	8790453.121
642	8790176.627
643	8779894.283
644	8778683.609
645	8770510.839
646	8761803.86
647	8755741.757
648	8751637.725
649	8747619.501
650	8742447.292
651	8736426.001
652	8730102.798
653	8729430.129
654	8719445.089
655	8718108.048
656	8714450.558
657	8709069.266
658	8703665.909
659	8702024.604
660	8698180.736
661	8697849.369
662	8697434.874
663	8691160.339
664	8684784.229
665	8684376.693
666	8678077.121
667	8675023.377
668	8667800.688
669	8667644.38
670	8665106.673
671	8660619.365
672	8654971.175
673	8649889.843
674	8648493.602
675	8642169.63
676	8640655.999
677	8638906.912
678	8633149.701
679	8627119.094
680	8626720.314
681	8624958.045
682	8624593.007
683	8623901.643
684	8615191.96
685	8614984.579
686	8609641.384
687	8601467.485
688	8596722.492
689	8594064.832
690	8586949.42
691	8585790.441
692	8580913.182
693	8572121.043
694	8570449.913
695	8562844.862
696	8556439.398
697	8554967.813
698	8550021.524
699	8546076.889
700	8544455.334
701	8540083.537
702	8534068.473
703	8528582.507
704	8523081.403
705	8522086.092
706	8512034.405
707	8507305.5
708	8495936.124
709	8481438.49
710	8477783.014
711	8476309.057
712	8475966.279
713	8475496.388
714	8468514.038
715	8467747.16
716	8460459.677
717	8454593.446
718	8453756.541
719	8451396.915
720	8447519.164
721	8447104.67
722	8442803.577
723	8435493.674
724	8431947.67
725	8425115.346
726	8418537.966
727	8415051.814
728	8413881.253
729	8406807.049
730	8406643.367
731	8400429.896
732	8394652.08
733	8394206.698
734	8390911.005
735	8388167.099
736	8384796.067
737	8382575.776
738	8378451.024
739	8371630.156
740	8365721.212
741	8363218.822
742	8362799.982
743	8356956.934
744	8352991.194
745	8352853.524
746	8351718.03
747	8351537.582
748	8344780.105
749	8342315.935
750	8338559.392
751	8334333.25
752	8333548.535
753	8332664.325
754	8324330.871
755	8323867.947
756	8320696.502
757	8313659.063
758	8307831.862
759	8306437.787
760	8306179.408
761	8303531.985
762	8296858.046
763	8290697.677
764	8285124.852
765	8280689.006
766	8279913.461
767	8275023.406
768	8271354.896
769	8266764.529
770	8265967.288
771	8262604.271
772	8261758.743
773	8257192.002
774	8253348.498
775	8247440.222
776	8243157.731
777	8236730.727
778	8236151.576
779	8227489.727
780	8222674.677
781	8222182.62
782	8216226.365
783	8216063.235
784	8214478.793
785	8212274.969
786	8209539.433
787	8209007.865
788	8207013.87
789	8200330.552
790	8187718.893
791	8177024.72
792	8175815.116
793	8170807.507
794	8163769.956
795	8156558.012
796	8148606.628
797	8137557.857
798	8134487.068
799	8129031.667
800	8124246.988
801	8121189.881
802	8119071.351
803	8112658.967
804	8111973.933
805	8101087.476
806	8096609.705
807	8089567.869
808	8085873.843
809	8074041.093
810	8070119.111
811	8058840.748
812	8055723.425
813	8050484.232
814	8050431.458
815	8045677.128
816	8042201.461
817	8041925.067
818	8035959.907
819	8035340.266
820	8032785.158
821	8032698.758
822	8028043.828
823	8026686.181
824	8025166.788
825	8023918.573
826	8022994.289
827	8020562.386
828	8020466.534
829	8017391.075
830	8010368.385
831	8005648.41
832	8000736.818
833	7992124.931
834	7988693.198
835	7987463.991
836	7984531.264
837	7976134.529
838	7967319.102
839	7966169.821
840	7961573.703
841	7957934.522
842	7953626.728
843	7952720.026
844	7952167.635
845	7947632.411
846	7944000.415
847	7939317.963
848	7937972.737
849	7933516.886
850	7933370.92
851	7930645.769
852	7922532.583
853	7916176.173
854	7913341.517
855	7912194.513
856	7904681.501
857	7900076.376
858	7900028.502
859	7899931.734
860	7895738.508
861	7894408.033
862	7891238.303
863	7888592.041
864	7887022.058
865	7886922.218
866	7886833.642
867	7881511.307
868	7879649.255
869	7878708.516
870	7870490.047
871	7869564.059
872	7862044.983
873	7854017.259
874	7838906.551
875	7835251.6
876	7835143.438
877	7831104.762
878	7825850.307
879	7815544.69
880	7811390.468
881	7802958.337
882	7797388.33
883	7793484.167
884	7790045.738
885	7786783.375
886	7786627.361
887	7785604.916
888	7776386.559
889	7775647.874
890	7769323.114
891	7762040.931
892	7761335.015
893	7752977.052
894	7749822.84
895	7749791.105
896	7741173.536
897	7740374.576
898	7736707.7
899	7734722.941
900	7727127.11
901	7722458.633
902	7716549.651
903	7714769.406
904	7712186.524
905	7708610.513
906	7704421.445
907	7699967.931
908	7699333.379
909	7696261.995
910	7695671.26
911	7690470.672
912	7687038.074
913	7685213.296
914	7685048.471
915	7677911.565
916	7670475.72
917	7658957.6
918	7658045.982
919	7655387.69
920	7651452.417
921	7648318.393
922	7644319.201
923	7640096.986
924	7640016.716
925	7636571.269
926	7631768.534
927	7628741.169
928	7624740.285
929	7620751.716
930	7613844.385
931	7609071.23
932	7608757.982
933	7602627.735
934	7602582.168
935	7595513.528
936	7594226.494
937	7589183.566
938	7588482.234
939	7584173.513
940	7582566.708
941	7574547.796
942	7570720.947
943	7566487.426
944	7563368.771
945	7559671.395
946	7556342.279
947	7552652.855
948	7543700.095
949	7537652.884
950	7535777.405
951	7532877.837
952	7531508.492
953	7529485.495
954	7524658.624
955	7520026.321
956	7515734.536
957	7508930.259
958	7507549.455
959	7504130.43
960	7499623.775
961	7491516.339
962	7491220.554
963	7487906.847
964	7483291.485
965	7483058.169
966	7479839.59
967	7477570.712
968	7475335.151
969	7473422.689
970	7468417.839
971	7466305.588
972	7457965.524
973	7455232.756
974	7447978.184
975	7447644.279
976	7445993.997
977	7445087.273
978	7442758.81
979	7437411.833
980	7431904.725
981	7431773.9
982	7431185.12
983	7425270.808
984	7422520.399
985	7411748.606
986	7411596.235
987	7408769.266
988	7401789.072
989	7399713.987
990	7399095.368
991	7396195.615
992	7391809.39
993	7386140.642
994	7379800.579
995	7373863.957
996	7368720.817
997	7365336.182
998	7359859.066
999	7357562.83
