TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
Single storied house for sale in Pasikot,"Pasikot, Kathmandu",Rs. 2.8 Cr ,5.2 aana,,12/13 Feet,North-East,1.0,2.0,2.0,2076 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
A modern house on sale at Satdobato,"Satdobato, Lalitpur",Rs. 4.5 Cr ,6.1 aana,2800 Sq. Feet,13 Feet,West,2.5,5.0,5.0,2058 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Garden']"
"House on sale at Bistachhap, Godawari","Bistachhap, Lalitpur",Rs. 1.35 Cr ,4.0 aana,,13 Feet,South,2.5,8.0,4.0,2060 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
Brand new house for sale in Imadol,"Imadol, Lalitpur",Rs. 3.25 Cr ,3.3 aana,,13 Feet,South,2.5,5.0,4.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Bathroom', 'Parking']"
Bungalow house for sale in Imadol,"Imadol, Lalitpur",Rs. 3.75 Cr ,4.0 aana,,16 Feet,East,2.5,4.0,4.0,2074 B.S,,"['Marbel', 'Earthquake Resistant', 'Drainage', 'Bathroom', 'Parking']"
"Beautiful house on sale at Checkpost,Thankot","Thankot, Kathmandu",Rs. 1.45 Cr ,3.0 aana,,10 Feet,,1.0,2.0,,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
Attractive house on sale at Kalanki,"Kalanki, Kathmandu",Rs. 2.6 Cr ,3.3 aana,,10-12 Feet,,3.0,5.0,6.0,2076 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
House on rent at Basundhara,"Basundhara, Kathmandu",Rs. 2.5 Lac/m,10.0 aana,,13 Feet,,2.5,5.0,4.0,2076 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Furnished House on rent at Kupondole,"Kupandole, Lalitpur",Rs. 1.7 Lac/m,6.0 aana,,14 Feet,North,2.5,6.0,5.0,2060 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Marbel', 'Parquet']"
"House on sale at Dhanus Galli, Maharajgunj","Maharajgunj, Kathmandu",Rs. 2.4 Cr ,4.0 aana,1369 Sq. Meter,14 Feet,East,2.0,4.0,2.0,2052 B.S,,"['Power Backup', 'Water Purifier', 'Drainage', 'Bathroom', 'Parking']"
House for sale in Dhumbarahi,"Dhumbarahi, Kathmandu",Rs. 3.8 Cr ,4.0 aana,,10 Feet,East,2.5,3.0,3.0,2054 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Marbel']"
8 BHK Bungalow for rent in Sanepa,"Sanepa, Lalitpur",Rs. 4 Lac/m,64.0 aana,,12-18 Feet,,2.5,8.0,4.0,2076 B.S,,"['Garden', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Internet', 'Marbel']"
"New house for sale at Kapan, Budhanilkantha","Kapan, Kathmandu",Rs. 2.95 Cr ,,,13 Feet,,2.4,6.0,5.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden']"
Semi furnished house on sale at Kalanki,"Kalanki, Kathmandu",Rs. 2.55 Cr ,4.2 aana,,20 Feet,North-East,2.0,5.0,4.0,2065 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"Residential house on sale at Bibek Chowk, Kapan","Kapan, Kathmandu",Rs. 3.1 Cr ,4.0 aana,3000 Ropani-aana-Paisa-Daam,12 Feet,North,3.5,8.0,3.0,2058 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water', 'Garden']"
"House for sale in Lolang Height, Tarkeshwor","Lolang, Kathmandu",Rs. 2.4 Cr ,3.2 aana,,26 Feet,West,3.5,,3.0,2074 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"House for Sale at Downtown Residency, Imadol","Imadol, Lalitpur",Rs. 4.25 Cr ,2158 sq. ft,2158 Sq. Feet,20  Feet,South-East,2.5,4.0,4.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Sofa', 'Dining Room', 'MiCrowave', 'AirCon', 'Water Purifier', 'Washing Machine', 'Power Backup', 'Bed Room']"
"Bungalow on rent at Battisputali, Old Baneshwor","Battisputali, Kathmandu",Rs. 3.5 Lac/m,8.0 aana,,32 Feet,East,3.0,6.0,4.0,2074 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
"House on rent at Rudreshwor, Budhanilkantha","Rudreshwor, Kathmandu","Rs. 70,000 /m",6.0 aana,,13 Feet,,1.5,5.0,3.0,2069 B.S,,"['Bathroom', 'Parking', 'Drainage', 'Drinking Water']"
"House on rent at Naxal, Kathmandu","Naxal, Kathmandu","Rs. 80,000 /m",7.0 aana,,10-12 Feet,,2.0,9.0,3.0,2069 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Neoclassic house on sale at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 19 Cr ,13.0 aana,4500 Sq. Feet,20 Feet,South-East,,4.0,5.0,2074 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Residential house on rent at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 1.2 Lac/m,9.0 aana,,14 Feet,,3.0,9.0,3.0,2076 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
6BHK house on sale at Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 3.45 Cr ,4.0 aana,,13 Feet,,2.5,6.0,3.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"House on rent at Narayanthan, Budhanilkantha","Narayanthan , Kathmandu",Rs. 2.5 Lac/m,21.0 aana,,12-18 Feet,,2.0,5.0,4.0,2060 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Garden', 'Drinking Water']"
Flat system house for sale in Ratopul,"Ratopool, Kathmandu",Rs. 13.8 Cr ,16.0 aana,,10 Feet,West,4.0,,,2052 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
Beautiful house on sale at Sanobharyang,"Sanobharyang, Kathmandu",Rs. 7.4 Cr ,11.0 aana,,13 Feet,South,3.5,8.0,4.0,2054 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Furnished Bungalow for rent in Kupandole,"Kupandole, Lalitpur",Rs. 1.8 Lac/m,6.2 aana,,18 Feet,,2.5,6.0,5.0,2076 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'AirCon', 'Fridge', 'Internet', 'Power Backup']"
House on rent at Ramkot,"Ramkot, Kathmandu","Rs. 65,000 /m",6.2 aana,,8-10 Feet,,2.5,7.0,4.0,2074 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Fully furnished bungalow on rent at Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 2 Lac/m,8.0 aana,,20 Feet,,,5.0,5.0,2077 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"Bungalow for sale at CG Villa, Sunakothi","Sunakothi, Lalitpur",Rs. 3.75 Cr ,2600 sq. ft,2600 Sq. Feet,20 Feet,,2.5,4.0,4.0,2070 B.S,,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Garden', 'Gym', 'CC Camera', 'Swimming Pool']"
Brand new Lavish house for sale at Bhaisepati,"Bhaisepati, Lalitpur",Rs. 8.5 Cr ,3400 sq. ft,3400 Sq. Feet,14 Feet,,2.5,5.0,7.0,2074 B.S,,"['Parquet', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
Beautiful house on sale at Bhaktapur,"Bhaktapur, Bhaktapur",Rs. 2 Cr ,3.0 aana,,12 Feet,,2.0,2.0,2.0,2069 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water', 'Garden']"
Residential house for rent in Lazimpat,"Lazimpat, Kathmandu","Rs. 45,000 /m",4.2 aana,,11 Feet,East,2.0,3.0,3.0,2073 B.S,,"['Drainage', 'Parking', 'Drinking Water', 'Bathroom']"
"House for sale at Hattigaunda, Budhanilkantha","Hattigaunda, Kathmandu",Rs. 3.45 Cr ,6.1 aana,,14 Feet,,2.0,7.0,4.0,2067 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Commercial house for sale in Panipokhari,"Panipokhari, Kathmandu",Rs. 6.5 Cr ,3.2 aana,,18 Feet,,3.5,7.0,4.0,2065 B.S,,"['Drainage', 'Drinking Water', 'Bathroom']"
Semi Commercial house for sale at Gokarna,"Gokarna, Kathmandu",Rs. 3 Cr ,4.0 aana,,32 Feet,,3.5,6.0,3.0,2075 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Drinking Water']"
House for rent at Sanobharyang,"Sanobharyang, Kathmandu","Rs. 80,000 /m",6.0 aana,,10-12 Feet,,2.5,4.0,4.0,2075 B.S,,"['Drainage', 'Parking', 'Drinking Water', 'Bathroom']"
"House for rent in Paiyatar, Tarakeshwor","Paiyatar, Kathmandu","Rs. 55,000 /m",6.0 aana,,13 Feet,,3.0,5.0,3.0,2064 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"House for sale in Budhanilkantha, Pasikot","Pasikot, Kathmandu",Rs. 3.4 Cr ,4.0 aana,,13 Feet,South-East,2.5,5.0,4.0,2077 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Marbel']"
Residential house for rent at Satungal,"Satungal, Kathmandu","Rs. 50,000 /m",9.0 aana,,13 Feet,East,2.5,4.0,4.0,2070 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Solar']"
"9BHK house on sale at Dhumbarahi, Kathmandu","Dhumbarahi, Kathmandu",Rs. 6.75 Cr ,8.0 aana,,12 Feet,South-East,2.0,9.0,6.0,2074 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Beautiful house on rent in Bansbari,"Bansbari, Kathmandu",Rs. 1.5 Lac/m,5.2 aana,,12 Feet,East,3.5,8.0,8.0,2074 B.S,,"['Solar', 'Garden', 'Drinking Water', 'CC Camera', 'Marbel', 'Parking', 'Modular Kitchen', 'Water Purifier', 'Bathroom', 'Drainage']"
"Attractive house on sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",Rs. 18 Cr ,16.0 aana,,,,2.0,6.0,3.0,2075 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Beautiful bungalow on sale at Chabahil,"Chabahil, Kathmandu",Rs. 5 Cr ,6.0 aana,,9-12 Feet,,3.0,,,,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Business Complex for sale at Gongabu,"Gongabu, Kathmandu",Rs. 6 Cr ,4.0 aana,42000 Sq. Feet,20+ Feet,West,4.0,6.0,5.0,2073 B.S,,"['Earthquake Resistant', 'Drainage', 'Bathroom', 'Parking']"
"Beautiful house on sale at Khadka Gaun, Kalanki","Khadka Gaun, Kathmandu",Rs. 3.3 Cr ,4.0 aana,,13 Feet,,2.0,5.0,4.0,2073 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Residential Bungalow for sale at Dhumbarahi,"Dhumbarahi, Kathmandu",Rs. 14 Cr ,17.0 aana,,12-18 Feet,,2.5,,,2071 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"Newly built house for sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",Rs. 3.4 Cr ,4.0 aana,,13 Feet,,2.5,6.0,3.0,2077 B.S,,"['Parking', 'Drainage', 'Drinking Water', 'Bathroom']"
"House on sale at KhuRs.anitar, Lazimpat","Lazimpat, Kathmandu",Rs. 4.2 Cr ,4.3 aana,,12 Feet,North-East,2.5,,3.0,2070 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"House on rent at KhuRs.anitar, Lazimpat","Lazimpat, Kathmandu",Rs. 1.3 Lac/m,4.0 aana,,10-12 Feet,West,3.5,4.0,5.0,2074 B.S,,"['Marbel', 'Solar', 'Drainage', 'Bathroom', 'Parking']"
"6BHK beautiful house for sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",Rs. 3.45 Cr ,4.0 aana,,13 Feet,,2.5,6.0,3.0,2069 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
"House for sale in CG Villa, Sunakothi","Sunakothi, Lalitpur",Rs. 3.75 Cr ,5.0 aana,2700 Sq. Feet,20 Feet,North-East,2.5,3.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'MiCrowave', 'Dining Room', 'CC Camera', 'Sofa', 'AirCon', 'Iron', 'Swimming Pool']"
"Bungalow for sale in Sangam Awas, Bhaisepati","Bhaisepati, Lalitpur",Rs. 7.8 Cr ,6.0 aana,2880 Sq. Feet,13  Feet,North-East,2.5,4.0,5.0,2067 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'MiCrowave', 'Dining Room', 'CC Camera', 'Sofa', 'Amphitheatre', 'AirCon', 'Water Purifier']"
"Beautiful house for sale in CG Hills, Hattigauda","Hattigaunda, Kathmandu",Rs. 7.7 Cr ,6.2 aana,3500 Sq. Feet,20 Feet,West,2.5,4.0,5.0,2065 B.S,,"['Gym', 'Earthquake Resistant', 'Power Backup', 'CC Camera', 'Modular Kitchen', 'Drinking Water', 'Swimming Pool', 'Garden']"
Brand new house on sale at Syuchatar,"Syuchatar, Kathmandu",Rs. 3.8 Cr ,4.0 aana,,18 Feet,South-East,2.5,4.0,3.0,2075 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"Residential house for sale at Gwarko, Lalitpur","Gwarko, Lalitpur",Rs. 1.55 Cr ,2.3 aana,,13 Feet,South,1.0,2.0,1.0,2075 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Furnished Bungalow for rent at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 10.5 Cr ,11.0 aana,,10-12 Feet,East,2.0,4.0,4.0,2064 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage', 'Solar', 'Garden', 'Marbel']"
"Commercial house for sale behind of Hotel Harati,�Chhetrapati","Chhetrapati, Kathmandu",Rs. 12.5 Cr ,10.0 aana,,15 Feet,,5.0,10.0,4.0,2065 B.S,,"['Drainage', 'Bathroom', 'Drinking Water']"
"4BHK beautiful house on sale at Imadol, Lalitpur","Imadol, Lalitpur",Rs. 2.35 Cr ,3.0 aana,,13 Feet,East,2.5,4.0,4.0,2076 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"House on sale near European Bakery, Baluwatar","Baluwatar, Kathmandu",Rs. 3.5 Cr ,2.0 aana,,14-20 Feet,,4.0,,,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage']"
"Beautiful Villa on rent in Cityscape, Hattiban","Hattiban, Lalitpur","Rs. 85,000 /m",6.1 aana,2700 Sq. Feet,20 Feet,North-East,2.5,4.0,5.0,2056 B.S,,"['Marbel', 'Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
Luxurious Bungalow for sale in Sitapaila,"Sitapaila, Kathmandu",Rs. 6.25 Cr ,7.2 aana,2734 Sq. Feet,14-20 Feet,,2.5,4.0,5.0,2065 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"Luxurious house for rent in CG Hills, Hattigauda","Hattigaunda, Kathmandu",Rs. 1.5 Lac/m,2400 sq. ft,2400 Sq. Feet,20 Meter,South,2.0,3.0,4.0,2060 B.S,,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Parking', 'Bathroom', 'Drainage', 'Drinking Water']"
Fully furnished bungalow for rent in Sanepa,"Sanepa, Lalitpur",Rs. 1.8 Lac/m,12.0 aana,,12-18 Feet,,2.5,6.0,5.0,2060 B.S,,"['Marbel', 'Parquet', 'Garden', 'Internet', 'Drainage', 'Bathroom', 'Parking', 'Drinking Water', 'Power Backup']"
"Residential house on sale at Thaiba, Godawari","Thaiba, Lalitpur",Rs. 1.8 Cr ,3.3 aana,,20 Feet,South,2.5,4.0,3.0,2060 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"Beautiful house on sale at Ochu Height, Imadol","Ochu Height, Lalitpur",Rs. 2.7 Cr ,3.2 aana,,13 Feet,South,2.5,5.0,3.0,2065 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Residential house on sale at Koteshwor ,"Koteshwor, Kathmandu",Rs. 4.15 Cr ,4.0 aana,,6 Feet,South,4.0,5.0,5.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Residential house for rent in Jorpati,"Jorpati, Kathmandu","Rs. 50,000 /m",5.0 aana,,14 Feet,,2.0,4.0,3.0,2071 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
"New house on sale in Sanagaun, Lalitpur","Sanagaun, Lalitpur",Rs. 2.04 Cr ,3.0 aana,,10/13 Feet,South-West,2.5,4.0,3.0,2075 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
4BHK house on sale at Bhaisepati,"Bhaisepati, Lalitpur",Rs. 7.8 Cr ,6.0 aana,,13 Feet,,2.0,4.0,5.0,2060 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"Residential house on sale at Madhyapur Thimi, Bhaktpur","Chardobato, Bhaktapur",Rs. 4.1 Cr ,4.2 aana,,20 Feet,South,3.5,6.0,6.0,2070 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Attractive house on sale at Mandikhatar,"Mandikhatar, Kathmandu",Rs. 4 Cr ,4.3 aana,,13 Feet,West,2.5,4.0,3.0,2076 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
Booking open for two bungalows in Budhanilakantha,"Deuwa chowk, Kathmandu",Rs. 4.35 Cr ,6.0 aana,2800 Sq. Feet,13 Feet,North,3.0,6.0,4.0,2076 B.S,,"['Earthquake Resistant', 'Parquet', 'Modular Kitchen', 'Bathroom', 'Solar', 'Drainage', 'Parking']"
Beautiful house on sale at Dhapasi Height,"Dhapasi, Kathmandu",Rs. 5.8 Cr ,10.0 aana,,13 Feet,East,2.0,4.0,4.0,2076 B.S,,"['Bathroom', 'Drainage', 'Drinking Water', 'Parking']"
Residential Bungalow for rent in Golfutar,"Golfutar, Kathmandu",Rs. 1 Lac/m,8.0 aana,,12-18 Feet,,2.5,6.0,4.0,2076 B.S,,"['Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"Furnished Bungalow for rent in Manbhawan, Lalitpur","Manbhawan, Lalitpur",Rs. 2.3 Lac/m,7.2 aana,,12-18 Feet,,2.5,4.0,4.0,2060 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Washing Machine', 'Internet', 'Power Backup', 'AirCon', 'Modular Kitchen']"
"House on sale in Gothatar, Kathmandu","Gothatar, Kathmandu",Rs. 3.8 Cr ,4.0 aana,,10 Feet,East,2.5,8.0,5.0,2074 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
House for sale in Tokha,"Grande Hospital, Kathmandu",Rs. 3 Cr ,3.2 aana,,13 Feet,North-West,3.0,12.0,5.0,2076 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Drinking Water']"
"Residential house on sale at Danchhi, Kageshwori","Danchhi, Kathmandu",Rs. 1.5 Cr ,3.0 aana,,10-24 Feet,South,2.5,4.0,4.0,2070 B.S,,"['Drinking Water', 'Drainage', 'Bathroom', 'Parking']"
"Beautiful house on sale at Sainbu, Lalitpur","Sainbu, Lalitpur",Rs. 3 Cr ,4.0 aana,,15 Feet,North,2.5,5.0,4.0,2076 B.S,,"['Drinking Water', 'Drainage', 'Parking']"
House for Sale in Harisddhi,"Harisiddhi, Lalitpur",Rs. 3.5 Cr ,6.0 aana,993 Sq. Feet,13-20 Feet,North,2.5,7.0,4.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drainage', 'Solar', 'Garden', 'Bathroom']"
"Attractive house on sale at Thali, Kageshwori","Thali, Kathmandu",Rs. 1.55 Cr ,3.5 aana,,10 Feet,,2.5,4.0,2.0,2075 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Beautiful house on rent at Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 1.5 Lac/m,14.0 aana,,13 Feet,,2.5,4.0,4.0,2076 B.S,,"['Drinking Water', 'Drainage', 'Bathroom', 'Parking']"
"Beautiful house on sale at Kapan, Budhanilkantha","Kapan, Kathmandu",Rs. 2.95 Cr ,4.1 aana,,13 Feet,,2.5,6.0,5.0,2070 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']"
"Under construction house on sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",Rs. 3.35 Cr ,3.2 aana,,16 Feet,North,2.5,,,2070 B.S,,"['Drinking Water', 'Garden', 'Parking', 'Drainage', 'Bathroom']"
Beautiful house on sale at Nakhipot,"Nakhipot, Lalitpur",Rs. 5 Cr ,,,16-22 Feet,,3.5,5.0,6.0,2060 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
House for sale in Khumaltar ,"Khumaltar, Lalitpur",Rs. 5.5 Cr ,5.0 aana,,13 Feet,South,3.0,3.0,4.0,2069 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Commercial house for sale in Maharajgunj,"Maharajgunj, Kathmandu",Rs. 7.5 Cr ,4.2 aana,,14-20 Feet,East,4.0,8.0,8.0,2076 B.S,,"['Parking', 'Drainage', 'Bathroom']"
"Under construction house on sale at Bhangal, Budhanilkantha","Bhangal , Kathmandu",Rs. 2.95 Cr ,3.2 aana,,10-12 Feet,,2.5,5.0,3.0,2070 B.S,,"['Drinking Water', 'Drainage', 'Parking', 'Bathroom']"
"Commercial Property for rent in Syuchatar, Nagarjun","Syuchatar, Kathmandu",Rs. 1.3 Lac/m,16.0 aana,2500 Sq. Feet,20 Feet,North,2.5,4.0,3.0,2070 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
"House on rent at Sinchahiti, Lalitpur","Sinchahiti, Lalitpur","Rs. 60,000 /m",1.2 aana,,14 Feet,South,3.0,8.0,5.0,2070 B.S,,"['Drainage', 'Bathroom', 'Drinking Water']"
"House for sale at Shankhamul, Kathmandu","Shankhamul, Kathmandu",Rs. 6.8 Cr ,6.2 aana,,20-26 Feet,North-East,3.5,7.0,3.0,2076 B.S,,"['Drinking Water', 'Parking', 'Bathroom', 'Drainage']"
"House for sale at Gaurighat, Kathmandu","Gaurighat, Kathmandu",Rs. 2.3 Cr ,3.0 aana,,13 Feet,West,2.5,4.0,4.0,2076 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']"
Building for rent at Gothatar,"Gothatar, Kathmandu",Rs. 4 Lac/m,,,12-18 Feet,,4.5,24.0,10.0,2075 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
"Fully furnished luxurious house is for rent at Bagaincha Colony, Budhanilkantha","Narayanthan , Kathmandu",Rs. 4 Lac/m,10.2 aana,,20 Feet,North-West,3.0,6.0,7.0,2076 B.S,,"['Marbel', 'Parquet', 'Garden', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Washing Machine', 'Fridge', 'Modular Kitchen']"
"Residential house on rent at Budhanilkantha, Kathamandu","Budhanilkantha, Kathmandu","Rs. 70,000 /m",7.3 aana,,13 Feet,South,2.5,3.0,2.0,2076 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
Fully furnished bungalow for rent in Gairidhara,"Gairidhara, Kathmandu",Rs. 3 Lac/m,16.0 aana,,12-18 Feet,,2.5,5.0,5.0,2071 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Garden', 'Marbel', 'Power Backup', 'Fridge', 'Washing Machine', 'Internet']"
"Bungalow for rent in Baluwatar, Kathmandu","Baluwatar, Kathmandu",Rs. 2.2 Lac/m,16.0 aana,,13-15 Feet,,2.5,5.0,5.0,2074 B.S,,"['Drainage', 'Power Backup', 'Bathroom', 'Parking', 'Marbel', 'Drinking Water']"
Residential house on rent in Sanobharyang,"Sanobharyang, Kathmandu","Rs. 75,000 /m",,,14-20 Feet,,2.5,4.0,4.0,2068 B.S,,"['Marbel', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']"
"House for rent at Golfutar, Budhanilkantha","Golfutar, Kathmandu","Rs. 42,000 /m",6.0 aana,,10-12 Feet,,2.0,5.0,4.0,2070 B.S,,"['Drinking Water', 'Parking', 'Bathroom', 'Drainage']"
"Residential house on sale at Gwarko, Lalitpur","Gwarko, Lalitpur",Rs. 2.7 Cr ,3.1 aana,,13 Feet,South,2.5,4.0,3.0,2068 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']"
"Attractive house on sale at Imadol, Lalitpur","Imadol, Lalitpur",Rs. 2.9 Cr ,4.0 aana,,13 Feet,North,2.5,5.0,4.0,2060 B.S,,"['Drinking Water', 'Drainage', 'Bathroom', 'Parking']"
"Beautiful house on sale at Imadol, Mahalaxmi","Imadol, Lalitpur",Rs. 2.75 Cr ,3.2 aana,,13 Feet,East,2.5,4.0,4.0,2060 B.S,,"['Garden', 'Parking', 'Drainage', 'Bathroom']"
Entire house for rent near Naxal Bhat Bhateni for Office,"Bhatbhateni, Kathmandu","Rs. 80,000 /m",4.1 aana,,12 Feet,,2.0,,3.0,2076 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Newly built House for sale at Narayantar,"Narayantar, Kathmandu",Rs. 3.5 Cr ,4.2 aana,,12 Feet,East,3.5,12.0,6.0,2060 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Dining Room', 'MiCrowave', 'AirCon', 'Internet', 'Parking', 'Bed Room', 'Modular Kitchen', 'Drinking Water']"
Beautiful house on rent at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 2 Lac/m,,,10-12 Feet,,2.0,,,2076 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']"
"Commercial house for rent at Koteshwor, Kathmandu","Koteshwor, Kathmandu",Rs. 1 Lac/m,3.0 aana,,10-15 Feet,,3.5,,,2076 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"House for rent at Maharajgunj, Kathmandu","Maharajgunj, Kathmandu",Rs. 1.4 Lac/m,11.0 aana,,10-12 Feet,,2.5,3.0,4.0,2057 B.S,,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']"
"Beautiful house on sale at Thali, Kageshwori","Thali, Kathmandu",Rs. 1.33 Cr ,3.2 aana,712 Sq. Feet,10 Feet,West,1.0,2.0,1.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drainage', 'Parking']"
"Attractive house on sale at Bhangal, Budhanilkantha","Bhangal , Kathmandu",Rs. 2.85 Cr ,3.2 aana,,8-10 Feet,East,2.5,4.0,3.0,2060 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
