TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 2.5 Cr ,3.2 aana,,12 Feet,South-East,3.5,5.0,7.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Terrace', 'Marbel', 'Parquet', 'Drainage', 'CC Camera', 'Parking', 'Solar', 'Drinking Water', 'Balcony', 'Fridge']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.2 aana,,16 Feet,South-East,3.0,4.0,4.0,2077 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Bed Room', 'Dining Room', 'Pantry', 'Master Bedroom']"
4 BHK House for Sale,"Tahachal, Kathmandu",Rs. 6.65 Cr ,4.1 aana,,20 Feet,North,3.0,4.0,5.0,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Sofa', 'Fridge', 'Iron', 'Closet']"
Bungalow House for Sale,"Dhapasi, Kathmandu",Rs. 13.3 Cr ,16.0 aana,,14 Feet,North-East,2.5,5.0,5.0,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Garden', 'Solar', 'Drainage', 'Basement', 'Bathtub', 'Balcony', 'Drinking Water']"
Villa House for Sale,"Thecho, Lalitpur",Rs. 8.5 Cr ,0.0 aana,,12 Feet,East,3.5,5.0,7.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Parquet', 'Marbel', 'Parking', 'Balcony', 'Terrace', 'MiCrowave', 'Power Backup', 'Iron', 'Sofa']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,5.0 aana,,12 Feet,North-East,2.5,4.0,5.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Guest Room', 'Kitchen', 'Bed Room']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 4.75 Cr ,3.1 aana,,20 Feet,South,2.5,4.0,4.0,2075 B.S,1 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drainage', 'Solar', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,3.2 aana,,13 Feet,South,3.0,5.0,4.0,2075 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Sanepa, Lalitpur",Rs. 6.35 Cr ,5.0 aana,,10 Feet,North-West,2.5,5.0,3.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room', 'Guest Room']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 8.5 Cr ,7.0 aana,,13 Feet,West,2.5,5.0,6.0,2075 B.S,3 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Guest Room', 'Kitchen']"
